total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population_density,reproduction_rate
4863.0,222.0,44.0,5.0,889.742,40.617,8.05,0.915,3934.0,3934.0,0.72,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.63,14.462,1.03
5147.0,284.0,50.0,6.0,941.703,51.961,9.148,1.098,3559.0,7493.0,1.371,0.651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.63,14.462,0.99
5370.0,223.0,59.0,9.0,982.504,40.8,10.795,1.647,3558.0,11051.0,2.022,0.651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.63,14.462,0.95
5550.0,180.0,62.0,3.0,1015.437,32.933,11.344,0.549,1389.0,12440.0,2.276,0.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.63,14.462,0.91
5687.0,137.0,71.0,9.0,1040.502,25.066,12.99,1.647,1120.0,13560.0,2.481,0.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.63,14.462,0.87
5865.0,178.0,76.0,5.0,1073.07,32.567,13.905,0.915,3528.0,17088.0,3.126,0.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.63,14.462,0.83
6086.0,221.0,89.0,13.0,1113.504,40.435,16.284,2.379,2977.0,20065.0,3.671,0.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.63,14.462,0.77
6086.0,0.0,101.0,12.0,1113.504,0.0,18.479,2.196,2268.0,22333.0,4.086,0.415,0.0665,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.63,14.462,0.72
6211.0,125.0,108.0,7.0,1136.374,22.87,19.76,1.281,1332.0,23665.0,4.33,0.244,0.0658,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.63,14.462,0.71
6314.0,103.0,113.0,5.0,1155.219,18.845,20.675,0.915,1363.0,25028.0,4.579,0.249,0.0675,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.63,14.462,0.71
6409.0,95.0,119.0,6.0,1172.601,17.381,21.772,1.098,1424.0,26452.0,4.84,0.261,0.0613,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.63,14.462,0.71
6525.0,116.0,128.0,9.0,1193.824,21.224,23.419,1.647,1248.0,27700.0,5.068,0.228,0.0593,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.63,14.462,0.71
6603.0,78.0,134.0,6.0,1208.095,14.271,24.517,1.098,1320.0,29020.0,5.31,0.242,0.0618,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.63,14.462,0.69
6623.0,20.0,139.0,5.0,1211.754,3.659,25.432,0.915,3365.0,32385.0,5.925,0.616,0.0436,22.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.63,14.462,0.68
6740.0,117.0,150.0,11.0,1233.161,21.407,27.444,2.013,3433.0,35818.0,6.553,0.628,0.0485,20.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.63,14.462,0.7
6896.0,156.0,152.0,2.0,1261.703,28.542,27.81,0.366,3110.0,38928.0,7.122,0.569,0.0449,22.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.63,14.462,0.71
